FullAddress,SID,PID,EXID,Service,Latitude,Longitude,Company,_overlaps
1490 COUNTY ROAD 154 BURNS WY 82053,61897,,9,1000MB/1000MB_Fiber,41.215705,-104.259675,Worland,
1825 CRIMSON ST WORLAND WY 82401,14815,,23,1000MB/1000MB_Fiber,44.006784,-107.944666,Worland,
109 FOREST HILL WAY NEWCASTLE WY 82701,27409,,17,1000MB/1000MB_Fiber,43.85204,-104.221054,Worland,
1482 COUNTY ROAD 154 BURNS WY 82053,940919,,9,1000MB/1000MB_Fiber,Null,Null,Worland,
1240 COUNTY ROAD 142 HILLSDALE WY 82060,4430,,9,1000MB/1000MB_Fiber,41.178673,-104.485921,Worland,
1238 COUNTY ROAD 142 HILLSDALE WY 82060,944977,,9,1000MB/1000MB_Fiber,Null,Null,Worland,
1009 N HIGHWAY 20 WASHAKIE WY 82401,11995,,23,1000MB/1000MB_Fiber,44.035692,-107.949019,Worland,
1824 CRIMSON ST WORLAND WY 82401,14839,,23,1000MB/1000MB_Fiber,44.006719,-107.945208,Worland,
1237 COUNTY ROAD 142 HILLSDALE WY 82060,4401,,9,1000MB/1000MB_Fiber,41.178618,-104.483449,Worland,
102 SPRUCE ST WORLAND WY 82401,945317,,23,1000MB/1000MB_Fiber,Null,Null,Worland,
2426 W MAIN ST NEWCASTLE WY 82701,29116,,17,1000MB/1000MB_Fiber,43.849416,-104.233683,Worland,
209 W 4TH ST PINE BLUFFS WY 82082,5425,,19,1000MB/1000MB_Fiber,41.181054,-104.071061,Worland,
1223 A COUNTY ROAD 142 HILLSDALE WY 82060,944918,,9,1000MB/1000MB_Fiber,Null,Null,Worland,
1819 CRIMSON ST WORLAND WY 82401,14814,,23,1000MB/1000MB_Fiber,44.006963,-107.944748,Worland,
1223 COUNTY ROAD 142 HILLSDALE WY 82060,944917,,9,1000MB/1000MB_Fiber,Null,Null,Worland,
4160 COUNTY ROAD 212 BURNS WY 82060,944978,,9,1000MB/1000MB_Fiber,Null,Null,Worland,
1224 COUNTY ROAD 142 HILLSDALE WY 82060,4381,,9,1000MB/1000MB_Fiber,41.177315,-104.496865,Worland,
50 W 3RD ST SHERIDAN WY 82801,870360,,41,1000MB/1000MB_Fiber,Null,Null,Sheridan,
1521 1/2 SOUTH FLAT RD WASHAKIE WY 82401,945316,,23,1000MB/1000MB_Fiber,Null,Null,Worland,
1818 CRIMSON ST WORLAND WY 82401,14838,,23,1000MB/1000MB_Fiber,44.006858,-107.945258,Worland,
408 CASCADE AVE NEWCASTLE WY 82701,28321,,17,1000MB/1000MB_Fiber,43.847406,-104.206541,Worland,
1226 COUNTY ROAD 142 HILLSDALE WY 82060,4378,,9,1000MB/1000MB_Fiber,41.177606,-104.493947,Worland,
1234 COUNTY ROAD 142 HILLSDALE WY 82060,4431,,9,1000MB/1000MB_Fiber,41.176967,-104.489172,Worland,
124 MOUNTAIN VIEW DR THERMOPOLIS WY 82443,9140,,21,1000MB/1000MB_Fiber,43.637296,-108.230408,Worland,
209 A S 7TH ST WORLAND WY 82401,945309,,23,1000MB/1000MB_Fiber,Null,Null,Worland,
1814 CRIMSON ST WORLAND WY 82401,14837,,23,1000MB/1000MB_Fiber,44.007063,-107.945306,Worland,
730 PARK ST THERMOPOLIS WY 82443,8279,,21,1000MB/1000MB_Fiber,43.650896,-108.215001,Worland,
4021 SUNFLOWER RANCH RD BURNS WY 82053,940265,,9,1000MB/1000MB_Fiber,Null,Null,Worland,
4010 SUNFLOWER RANCH RD BURNS WY 82053,940261,,9,1000MB/1000MB_Fiber,Null,Null,Worland,
4026 SUNFLOWER RANCH RD BURNS WY 82053,940262,,9,1000MB/1000MB_Fiber,Null,Null,Worland,
4036 SUNFLOWER RANCH RD BURNS WY 82053,940263,,9,1000MB/1000MB_Fiber,Null,Null,Worland,
1813 CRIMSON ST WORLAND WY 82401,14813,,23,1000MB/1000MB_Fiber,44.007129,-107.944783,Worland,
3201 1/2 HIGHLAND RIDGE WAY WORLAND WY 82401,945305,,23,1000MB/1000MB_Fiber,Null,Null,Worland,
214 S 6 ST THERMOPOLIS WY 82433,9690,,21,1000MB/1000MB_Fiber,43.644344,-108.212305,Worland,
4044 SUNFLOWER RANCH RD BURNS WY 82053,5033,,9,1000MB/1000MB_Fiber,41.163783,-104.51487,Worland,
4708 CONRAD RD BURNS WY 82053,4470,,9,1000MB/1000MB_Fiber,41.197602,-104.384968,Worland,
166 STONEY POINT RD DUBOIS WY 82513,46405,,3,1000MB/1000MB_Fiber,43.569938,-109.740762,DUBOIS,
1807 CRIMSON ST WORLAND WY 82401,14510,,23,1000MB/1000MB_Fiber,44.00734,-107.944793,Worland,
1486 COUNTY ROAD 154 BURNS WY 82053,934910,,9,1000MB/1000MB_Fiber,Null,Null,Worland,
Null,10603,,21,1000MB/1000MB_Fiber,43.641903,-108.211362,Worland,
1099 1/2 N PONDEROSA LN WASHAKIE WY 82401,63203,,23,1000MB/1000MB_Fiber,Null,Null,Worland,
734 PARK ST THERMOPOLIS WY 82443,8277,,21,1000MB/1000MB_Fiber,43.650981,-108.215361,Worland,
31 ASH CREEK RD BUSBY MT 59016,30061,,29,1000MB/1000MB_Fiber,45.53177436,-107.0184218,Forsyth,
1805 CRIMSON ST WORLAND WY 82401,14509,,23,1000MB/1000MB_Fiber,44.007544,-107.944781,Worland,
8385 A CASTLE ROCK RD BUSBY MT 59016,30149,,29,1000MB/1000MB_Fiber,45.62827977,-107.1235531,Forsyth,
1343 S SHERIDAN AVE SHERIDAN WY 82801,61678,,41,1000MB/1000MB_Fiber,44.783304,-106.947877,Sheridan,
336 BUFFALO CALF WOMAN RD BUSBY MT 59016,30249,,29,1000MB/1000MB_Fiber,45.52540647,-106.9767742,Forsyth,
278 BUFFALO CALF WOMAN RD BUSBY MT 59016,30250,,29,1000MB/1000MB_Fiber,45.52605857,-106.9768033,Forsyth,
728 PARK ST THERMOPOLIS WY 82443,10480,,21,1000MB/1000MB_Fiber,43.650881,-108.214646,Worland,
1801 CRIMSON ST WORLAND WY 82401,62957,,23,1000MB/1000MB_Fiber,44.00766201,-107.9449204,Worland,
1232 LANE 14 WASHAKIE WY 82401,63228,,23,1000MB/1000MB_Fiber,Null,Null,Worland,
258 BUFFALO CALF WOMAN RD BUSBY MT 59016,30251,,29,1000MB/1000MB_Fiber,45.5265155,-106.9767839,Forsyth,
163 E BROADWAY ST THERMOPOLIS WY 82443,9863,,21,1000MB/1000MB_Fiber,43.646253,-108.198671,Worland,
801 S 17TH ST  WORLAND WY 82401,15633,,23,1000MB/1000MB_Fiber,44.008769,-107.945191,Worland,
518 AMORETTI ST THERMOPOLIS WY 82443,9683,,21,1000MB/1000MB_Fiber,43.641963,-108.21113,Worland,
1800 CRIMSON ST WORLAND WY 82401,14836,,23,1000MB/1000MB_Fiber,44.007231,-107.945329,Worland,
130 ASH CREEK RD BUSBY MT 59016,30275,,29,1000MB/1000MB_Fiber,45.53122795,-107.0139631,Forsyth,
25140 HWY 212 BUSBY MT 59016,30071,,29,1000MB/1000MB_Fiber,45.529494,-106.9582437,Forsyth,
104 MUSSER RD NEWCASTLE WY 82701,26983,,17,1000MB/1000MB_Fiber,43.864787,-104.180268,Worland,
317 OLD AGRICULTURE AVE BUSBY MT 59016,30304,,29,1000MB/1000MB_Fiber,45.53651722,-106.9622768,Forsyth,
801 A S 17TH ST WORLAND WY 82401,15634,,23,1000MB/1000MB_Fiber,44.008559,-107.943587,Worland,
1713 CRIMSON ST WORLAND WY 82401,14480,,23,1000MB/1000MB_Fiber,44.007653,-107.945231,Worland,
324 ROUNDUP AVE NEWCASTLE WY 82701,28392,,17,1000MB/1000MB_Fiber,43.847209,-104.203734,Worland,
328 FIREWOLF AVE BUSBY MT 59041,30015,,29,1000MB/1000MB_Fiber,Null,Null,Forsyth,
324 FIREWOLF AVE BUSBY MT 59016,30128,,29,1000MB/1000MB_Fiber,45.53623797,-106.9617566,Forsyth,
933 WERCO AVE SHERIDAN WY 82801,61206,,41,1000MB/1000MB_Fiber,44.77530019,-106.9414977,Sheridan,
720 PARK ST THERMOPOLIS WY 82443,8280,,21,1000MB/1000MB_Fiber,43.65086,-108.2144,Worland,
1707 CRIMSON ST WORLAND WY 82401,14481,,23,1000MB/1000MB_Fiber,44.007612,-107.94558,Worland,
318 FIREWOLF AVE BUSBY MT 59016,30303,,29,1000MB/1000MB_Fiber,45.41147887,-107.0582881,Forsyth,
115 S 11TH ST WORLAND WY 82401,12904,,23,1000MB/1000MB_Fiber,44.01602,-107.954128,Worland,
214 1/2 S 6 ST THERMOPOLIS WY 82443,9739,,21,1000MB/1000MB_Fiber,43.644314,-108.212486,Worland,
618 E OAK ST SUNDANCE WY 82729,49733,,78,1000MB/1000MB_Fiber,44.408352,-104.375533,Forsyth,
406 PLAYINGBEAR ST BUSBY MT 59016,30123,,29,1000MB/1000MB_Fiber,45.53725648,-106.9603729,Forsyth,
1701 CRIMSON ST WORLAND WY 82401,14652,,23,1000MB/1000MB_Fiber,44.007593,-107.945858,Worland,
289 LITTLE BEAR ST BUSBY MT 59016,30041,,29,1000MB/1000MB_Fiber,45.53306186,-106.9580734,Forsyth,
730 LONG JAW LN BUSBY MT 59016,30037,,29,1000MB/1000MB_Fiber,45.53264384,-106.9571783,Forsyth,
5 BREWER SHOP LN FORSYTH MT 59327,37945,,25,1000MB/1000MB_Fiber,46.26211152,-106.795269,Forsyth,
698 UPPER SARPY CREEK RD HYSHAM MT 59034,38977,,30,1000MB/1000MB_Fiber,45.8234855,-107.1229273,Forsyth,
1007 1/2 ROBERTSON AVE WORLAND WY 82401,945319,,23,1000MB/1000MB_Fiber,Null,Null,Worland,
1615 CRIMSON ST WORLAND WY 82401,14653,,23,1000MB/1000MB_Fiber,44.007602,-107.946133,Worland,
160 PLEASANT VIEW DR WORLAND WY 82401,15265,,23,1000MB/1000MB_Fiber,44.017388,-107.974089,Worland,
402 CASCADE AVE NEWCASTLE WY 82701,28319,,17,1000MB/1000MB_Fiber,43.847082,-104.207133,Worland,
717 LONG JAW LN BUSBY MT 59016,30032,,29,1000MB/1000MB_Fiber,45.53270608,-106.956507,Forsyth,
727 LONG JAW LN BUSBY MT 59016,30033,,29,1000MB/1000MB_Fiber,45.5325421,-106.9566232,Forsyth,
3090 EA RANCH RD DUBOIS WY 82513,45545,,3,1000MB/1000MB_Fiber,43.624153,-109.600476,DUBOIS,
1609 CRIMSON ST WORLAND WY 82401,14654,,23,1000MB/1000MB_Fiber,44.00758,-107.946484,Worland,
2 KILLSONTOP AVE BUSBY MT 59016,30258,,29,1000MB/1000MB_Fiber,45.54004352,-106.9569053,Forsyth,
301 U S HWY 212 BUSBY MT 59016,30148,,29,1000MB/1000MB_Fiber,45.53936913,-106.9491039,Forsyth,
2005 GREGG AVE WORLAND WY 82401,944488,,23,1000MB/1000MB_Fiber,Null,Null,Worland,
102 3RD AVE NEWCASTLE WY 82701,27403,,17,1000MB/1000MB_Fiber,43.851768,-104.220403,Worland,
23137 HIGHWAY 212 BUSBY MT 59016,30025,,29,1000MB/1000MB_Fiber,45.53034681,-106.9996633,Forsyth,
1606 CRIMSON ST WORLAND WY 82401,14835,,23,1000MB/1000MB_Fiber,44.007172,-107.946552,Worland,
59 BIRD CHIEF LOOP BUSBY MT 59016,30050,,29,1000MB/1000MB_Fiber,45.5276394,-106.974875,Forsyth,
25110 HIGHWAY 212 BUSBY MT 59016,30290,,29,1000MB/1000MB_Fiber,45.52876095,-106.9584393,Forsyth,
423 RISING SUN LN BUSBY MT 59016,30167,,29,1000MB/1000MB_Fiber,45.53537857,-106.9612438,Forsyth,
710 PARK ST THERMOPOLIS WY 82443,8281,,21,1000MB/1000MB_Fiber,43.650892,-108.214198,Worland,
2016 CLOUD PEAK DR WORLAND WY 82401,15342,,23,1000MB/1000MB_Fiber,44.019717,-107.941999,Worland,
1605 CRIMSON ST WORLAND WY 82401,14482,,23,1000MB/1000MB_Fiber,44.007624,-107.946811,Worland,
704 PARK ST THERMOPOLIS WY 82443,8282,,21,1000MB/1000MB_Fiber,43.6509,-108.213923,Worland,
419 RISING SUN LN BUSBY MT 59016,30168,,29,1000MB/1000MB_Fiber,45.53537283,-106.9609918,Forsyth,
409 RISING SUN LN BUSBY MT 59016,30170,,29,1000MB/1000MB_Fiber,45.53537362,-106.9604337,Forsyth,
240 LITTLE BEAR ST BUSBY MT 59016,30044,,29,1000MB/1000MB_Fiber,45.53338451,-106.9565089,Forsyth,
789 W ARMELLS RD FORSYTH MT 59327,38880,,30,1000MB/1000MB_Fiber,46.0045584,-106.8270388,Forsyth,
1620 CHARLES AVE WORLAND WY 82401,14528,,23,1000MB/1000MB_Fiber,44.010391,-107.946433,Worland,
25101 HIGHWAY 212 BUSBY MT 59016,30072,,29,1000MB/1000MB_Fiber,45.52992245,-106.9601149,Forsyth,
2008 CLOUD PEAK DR WORLAND WY 82401,15341,,23,1000MB/1000MB_Fiber,44.019665,-107.942328,Worland,
1029 BROADWAY ST LOT 10 THERMOPOLIS WY 82443,9071,,21,1000MB/1000MB_Fiber,43.645887,-108.219141,Worland,
241 BUFFALO CALF WOMAN RD BUSBY MT 59016,30253,,29,1000MB/1000MB_Fiber,45.52676206,-106.9761696,Forsyth,
37 BUFFALO CALF WOMAN RD BUSBY MT 59016,30074,,29,1000MB/1000MB_Fiber,45.52761426,-106.9735401,Forsyth,
1601 CHARLES AVE WORLAND WY 82401,14531,,23,1000MB/1000MB_Fiber,44.010882,-107.946992,Worland,
59 AIRPORT RD THERMOPOLIS WY 82443,8357,,21,1000MB/1000MB_Fiber,43.651501,-108.21604,Worland,
24074 HIGHWAY 212 BUSBY MT 59016,30053,,29,1000MB/1000MB_Fiber,45.52780489,-106.9800041,Forsyth,
616 FREMONT ST DUP-2 E THERMOPOLIS WY 82443,9721,,21,1000MB/1000MB_Fiber,43.644203,-108.212647,Worland,
951 WERCO AVE SHERIDAN WY 82801,60036,,41,1000MB/1000MB_Fiber,44.77474233,-106.9416528,Sheridan,
1844 CLOUD PEAK DR WORLAND WY 82401,944227,,23,1000MB/1000MB_Fiber,Null,Null,Worland,
1525 CHARLES AVE WORLAND WY 82401,14530,,23,1000MB/1000MB_Fiber,44.010873,-107.947283,Worland,
2287 W MAIN ST NEWCASTLE WY 82701,29308,,17,1000MB/1000MB_Fiber,43.851453,-104.230513,Worland,
24135 HWY 212 BUSBY MT 59016,30051,,29,1000MB/1000MB_Fiber,45.52925207,-106.9788608,Forsyth,
24043 HIGHWAY 212 BUSBY MT 59016,30054,,29,1000MB/1000MB_Fiber,45.52970025,-106.9802308,Forsyth,
116 W 5TH ST PINE BLUFFS WY 82082,5478,,19,1000MB/1000MB_Fiber,41.179634,-104.069307,Worland,
1341 S SHERIDAN AVE SHERIDAN WY 82801,33707,,41,1000MB/1000MB_Fiber,Null,Null,Sheridan,
1521 CHARLES AVE WORLAND WY 82401,14558,,23,1000MB/1000MB_Fiber,44.010869,-107.947512,Worland,
813 W ARMELLS RD FORSYTH MT 59327,39020,,30,1000MB/1000MB_Fiber,46.0005374,-106.8322139,Forsyth,
23944 HIGHWAY 212 BUSBY MT 59016,30055,,29,1000MB/1000MB_Fiber,45.52769997,-106.9824733,Forsyth,
1830 CLOUD PEAK DR WORLAND WY 82401,67153,,23,1000MB/1000MB_Fiber,Null,Null,Worland,
810 PARK ST THERMOPOLIS WY 82443,10298,,21,1000MB/1000MB_Fiber,43.651646,-108.215653,Worland,
219 N 7TH ST SUNDANCE WY 82729,50100,,78,1000MB/1000MB_Fiber,44.408423,-104.375189,Forsyth,
1520 CHARLES AVE WORLAND WY 82401,14655,,23,1000MB/1000MB_Fiber,44.010405,-107.947577,Worland,
23930 HIGHWAY 212 BUSBY MT 59016,30057,,29,1000MB/1000MB_Fiber,45.5249807,-106.9834213,Forsyth,
23924 HWY 212 BUSBY MT 59016,30056,,29,1000MB/1000MB_Fiber,45.52646518,-106.9838941,Forsyth,
189 MUSSER RD NEWCASTLE WY 82701,27035,,17,1000MB/1000MB_Fiber,43.867677,-104.168697,Worland,
22896 HIGHWAY 212 BUSBY MT 59016,30028,,29,1000MB/1000MB_Fiber,45.52852405,-107.0042179,Forsyth,
3249 EA RANCH RD DUBOIS WY 82513,46484,,3,1000MB/1000MB_Fiber,43.622227,-109.598615,DUBOIS,
1511 CHARLES AVE WORLAND WY 82401,14457,,23,1000MB/1000MB_Fiber,44.010918,-107.94799,Worland,
103 3RD AVE NEWCASTLE WY 82701,29196,,17,1000MB/1000MB_Fiber,43.851842,-104.2199,Worland,
1816 CLOUD PEAK DR WORLAND WY 82401,944226,,23,1000MB/1000MB_Fiber,Null,Null,Worland,
31 AIRPORT RD THERMOPOLIS WY 82443,8361,,21,1000MB/1000MB_Fiber,43.65149,-108.214913,Worland,
22638 HIGHWAY 212 BUSBY MT 59016,30029,,29,1000MB/1000MB_Fiber,45.52853377,-107.0098271,Forsyth,
22988 HIGHWAY 212 BUSBY MT 59016,30287,,29,1000MB/1000MB_Fiber,45.52853168,-107.0025463,Forsyth,
2007 CARDINAL ST WORLAND WY 82401,14739,,23,1000MB/1000MB_Fiber,44.004374,-107.942012,Worland,
326 ROUNDUP AVE NEWCASTLE WY 82701,28391,,17,1000MB/1000MB_Fiber,43.847247,-104.203677,Worland,
22643 HWY 212 BUSBY MT 59016,30031,,29,1000MB/1000MB_Fiber,45.5305243,-107.0094342,Forsyth,
22779 HIGHWAY 212 BUSBY MT 59016,30030,,29,1000MB/1000MB_Fiber,45.53100452,-107.0077959,Forsyth,
1808 CLOUD PEAK DR WORLAND WY 82401,13189,,23,1000MB/1000MB_Fiber,44.019626,-107.944761,Worland,
205 WALNUT AVE PINE BLUFFS WY 82082,5317,,19,1000MB/1000MB_Fiber,41.182652,-104.059663,Worland,
2001 CARDINAL ST WORLAND WY 82401,14738,,23,1000MB/1000MB_Fiber,44.004405,-107.942299,Worland,
149 BIRD CHIEF LOOP BUSBY MT 59016,30049,,29,1000MB/1000MB_Fiber,45.52791742,-106.9771968,Forsyth,
23136 HIGHWAY 212 BUSBY MT 59016,30314,,29,1000MB/1000MB_Fiber,45.52404939,-106.9997087,Forsyth,
413 RISING SUN LN BUSBY MT 59016,30169,,29,1000MB/1000MB_Fiber,45.53535295,-106.9607126,Forsyth,
239 ASH CREEK RD BUSBY MT 59016,30018,,29,1000MB/1000MB_Fiber,45.534,-107.0177,Forsyth,
908 W BRUNDAGE LN SHERIDAN WY 82801,59867,,41,1000MB/1000MB_Fiber,44.7728215,-106.9679626,Sheridan,
1931 CARDINAL ST WORLAND WY 82401,14737,,23,1000MB/1000MB_Fiber,44.004499,-107.942522,Worland,
1800 CLOUD PEAK DR WORLAND WY 82401,13185,,23,1000MB/1000MB_Fiber,44.019791,-107.944961,Worland,
616 FREMONT ST DUP-1 E THERMOPOLIS WY 82443,9692,,21,1000MB/1000MB_Fiber,43.644202,-108.212722,Worland,
344 BUFFALO CALF WOMAN RD BUSBY MT 59016,30248,,29,1000MB/1000MB_Fiber,45.52514118,-106.9767812,Forsyth,
323 WHISTLINGELK AVE BUSBY MT 59016,30238,,29,1000MB/1000MB_Fiber,45.53664892,-106.9571827,Forsyth,
1925 CARDINAL ST WORLAND WY 82401,14736,,23,1000MB/1000MB_Fiber,44.004574,-107.94272,Worland,
780 OLD HWY 10 HYSHAM MT 59038,39052,,30,1000MB/1000MB_Fiber,46.28840543,-107.0642357,Forsyth,
308 FIREWOLF AVE BUSBY MT 59016,30127,,29,1000MB/1000MB_Fiber,45.53678101,-106.9617155,Forsyth,
1500 CLOUD PEAK WORLAND WY 82401,944221,,23,1000MB/1000MB_Fiber,Null,Null,Worland,
615 SIMKINS AVE PINE BLUFFS WY 82082,5737,,19,1000MB/1000MB_Fiber,41.178357,-104.061429,Worland,
23235 HIGHWAY 212 BUSBY MT 59016,30026,,29,1000MB/1000MB_Fiber,45.53012239,-106.99712,Forsyth,
1919 CARDINAL ST WORLAND WY 82401,14735,,23,1000MB/1000MB_Fiber,44.004664,-107.942984,Worland,
23819 HIGHWAY 212 BUSBY MT 59016,30058,,29,1000MB/1000MB_Fiber,45.53172544,-106.9877312,Forsyth,
270 LITTLE BEAR ST BUSBY MT 59016,30046,,29,1000MB/1000MB_Fiber,45.53357187,-106.9578278,Forsyth,
277 LITTLE BEAR ST BUSBY MT 59016,30042,,29,1000MB/1000MB_Fiber,45.53321027,-106.9578251,Forsyth,
220 MAIN ST PINE BLUFFS WY 82082,5408,,19,1000MB/1000MB_Fiber,41.182118,-104.06873,Worland,
262 LITTLE BEAR ST BUSBY MT 59016,30047,,29,1000MB/1000MB_Fiber,45.53358439,-106.9574218,Forsyth,
1913 CARDINAL ST WORLAND WY 82401,14734,,23,1000MB/1000MB_Fiber,44.004759,-107.943182,Worland,
1900 CLOUD PEAK DR WORLAND WY 82401,913638,,23,1000MB/1000MB_Fiber,Null,Null,Worland,
643 MAIDEN ST THERMOPOLIS WY 82443,8366,,21,1000MB/1000MB_Fiber,43.651476,-108.213253,Worland,
251 LITTLE BEAR ST BUSBY MT 59016,30039,,29,1000MB/1000MB_Fiber,45.53314793,-106.9570653,Forsyth,
276 LITTLE BEAR ST BUSBY MT 59016,30045,,29,1000MB/1000MB_Fiber,45.53351945,-106.958054,Forsyth,
116 MOUNTAIN VIEW DR THERMOPOLIS WY 82443,9138,,21,1000MB/1000MB_Fiber,43.638357,-108.229248,Worland,
1907 CARDINAL ST WORLAND WY 82401,14733,,23,1000MB/1000MB_Fiber,44.004845,-107.943429,Worland,
736 LONG JAW LN BUSBY MT 59016,30036,,29,1000MB/1000MB_Fiber,45.53224149,-106.9573201,Forsyth,
733 LONG JAW LN BUSBY MT 59016,66792,,29,1000MB/1000MB_Fiber,45.53226324,-106.9567543,Forsyth,
735 LONG JAW LN BUSBY MT 59016,30035,,29,1000MB/1000MB_Fiber,45.53218226,-106.956982,Forsyth,
1200 CULBERTSON AVE WORLAND WY 82401,942608,,23,1000MB/1000MB_Fiber,Null,Null,Worland,
3105 EA RANCH RD DUBOIS WY 82513,46482,,3,1000MB/1000MB_Fiber,43.622941,-109.600491,DUBOIS,
1906 CARDINAL ST WORLAND WY 82401,14731,,23,1000MB/1000MB_Fiber,44.00441,-107.9434,Worland,
625 MAIDEN ST THERMOPOLIS WY 82443,8367,,21,1000MB/1000MB_Fiber,43.65147,-108.212747,Worland,
222 LITTLE BEAR ST BUSBY MT 59016,30043,,29,1000MB/1000MB_Fiber,45.53336682,-106.9561439,Forsyth,
2 POST RD BUSBY MT 59016,921636,,29,1000MB/1000MB_Fiber,Null,Null,Forsyth,
415 MILLER ST PINE BLUFFS WY 82082,5439,,19,1000MB/1000MB_Fiber,41.180142,-104.072274,Worland,
427 N 8 ST THERMOPOLIS WY 82443,8288,,21,1000MB/1000MB_Fiber,43.650451,-108.215059,Worland,
1900 CARDINAL ST WORLAND WY 82401,14722,,23,1000MB/1000MB_Fiber,44.004508,-107.943641,Worland,
130 S 9TH ST WORLAND WY 82401,63096,,23,1000MB/1000MB_Fiber,44.01619256,-107.9575965,Worland,
426 S 6 ST THERMOPOLIS WY 82443,9499,,21,1000MB/1000MB_Fiber,43.641978,-108.212466,Worland,
414 PLAYINGBEAR ST BUSBY MT 59016,30124,,29,1000MB/1000MB_Fiber,45.53723864,-106.9607749,Forsyth,
107 E LINCOLNWAY PINE BLUFFS WY 82082,5398,,19,1000MB/1000MB_Fiber,41.184088,-104.067725,Worland,
420 PLAYINGBEAR ST BUSBY MT 59016,30125,,29,1000MB/1000MB_Fiber,45.53728453,-106.9610529,Forsyth,
1901 CARDINAL ST WORLAND WY 82401,14732,,23,1000MB/1000MB_Fiber,44.004934,-107.943641,Worland,
428 PLAYINGBEAR ST BUSBY MT 59016,30302,,29,1000MB/1000MB_Fiber,45.53726522,-106.9614243,Forsyth,
509 RISING SUN LN BUSBY MT 59016,30129,,29,1000MB/1000MB_Fiber,45.53543832,-106.9618145,Forsyth,
328 WHISTLINGELK AVE BUSBY MT 59016,30184,,29,1000MB/1000MB_Fiber,45.53695744,-106.956029,Forsyth,
1270 SOUTH FLAT RD WORLAND WY 82401,13771,,23,1000MB/1000MB_Fiber,43.997429,-107.969583,Worland,
1001 N HIGHWAY 20 WASHAKIE WY 82401,11993,,23,1000MB/1000MB_Fiber,44.036692,-107.947904,Worland,
1836 CARDINAL ST WORLAND WY 82401,14723,,23,1000MB/1000MB_Fiber,44.004608,-107.943875,Worland,
619 MAIDEN ST THERMOPOLIS WY 82443,8368,,21,1000MB/1000MB_Fiber,43.651466,-108.212577,Worland,
368 BUFFALO CALF WOMAN RD BUSBY MT 59016,30052,,29,1000MB/1000MB_Fiber,45.52457997,-106.9770915,Forsyth,
722 LONG JAW DR BUSBY MT 59016,30038,,29,1000MB/1000MB_Fiber,45.53284059,-106.9570037,Forsyth,
710 LONG JAW LN BUSBY MT 59016,30040,,29,1000MB/1000MB_Fiber,45.53305717,-106.9568433,Forsyth,
1830 CARDINAL ST WORLAND WY 82401,14724,,23,1000MB/1000MB_Fiber,44.004684,-107.944042,Worland,
611 E MAIN ST SUNDANCE WY 82729,50099,,78,1000MB/1000MB_Fiber,44.40779,-104.375442,Forsyth,
829 BIG HORN AVE WORLAND WY 82401,929613,,23,1000MB/1000MB_Fiber,Null,Null,Worland,
633 WARREN ST THERMOPOLIS WY 82443,9687,,21,1000MB/1000MB_Fiber,43.644776,-108.213024,Worland,
244 BUFFALO CALF WOMAN RD BUSBY MT 59016,30252,,29,1000MB/1000MB_Fiber,45.52692352,-106.9772113,Forsyth,
8385 CASTLE ROCK RD BUSBY MT 59016,30150,,29,1000MB/1000MB_Fiber,45.62926891,-107.1229923,Forsyth,
1825 CARDINAL ST WORLAND WY 82401,14730,,23,1000MB/1000MB_Fiber,44.005012,-107.943839,Worland,
8349 CASTLE ROCK RD BUSBY MT 59016,30151,,29,1000MB/1000MB_Fiber,45.62836079,-107.1262045,Forsyth,
9 MACKLEY RD HYSHAM MT 59038,38691,,30,1000MB/1000MB_Fiber,46.29038139,-107.1018746,Forsyth,
8240 CASTLE ROCK RD BUSBY MT 59016,30152,,29,1000MB/1000MB_Fiber,45.62738078,-107.1217253,Forsyth,
111 RUSSELL AVE WASHAKIE WY 82401,62976,,23,1000MB/1000MB_Fiber,44.024226,-107.967763,Worland,
608 AMORETTI ST APT 1 THERMOPOLIS WY 82443,9502,,21,1000MB/1000MB_Fiber,43.641882,-108.212698,Worland,
1824 CARDINAL ST WORLAND WY 82401,14725,,23,1000MB/1000MB_Fiber,44.004718,-107.944227,Worland,
8220 CASTLE ROCK RD BUSBY MT 59016,30153,,29,1000MB/1000MB_Fiber,45.62689935,-107.1212398,Forsyth,
8198 CASTLE ROCK RD BUSBY MT 59016,30154,,29,1000MB/1000MB_Fiber,45.62688816,-107.1217473,Forsyth,
322 PLAYINGBEAR ST BUSBY MT 59016,30121,,29,1000MB/1000MB_Fiber,45.53724852,-106.95944,Forsyth,
306 PLAYINGBEAR ST BUSBY MT 59016,30120,,29,1000MB/1000MB_Fiber,45.53725171,-106.9587905,Forsyth,
111 LANDFILL RD WASHAKIE WY 82401,11873,,23,1000MB/1000MB_Fiber,44.033644,-108.00236,Worland,
1819 CARDINAL ST WORLAND WY 82401,14729,,23,1000MB/1000MB_Fiber,44.0051,-107.944046,Worland,
113 3RD AVE NEWCASTLE WY 82701,27302,,17,1000MB/1000MB_Fiber,43.852097,-104.219906,Worland,
314 PLAYINGBEAR ST BUSBY MT 59016,30119,,29,1000MB/1000MB_Fiber,45.53726028,-106.95911,Forsyth,
328 PLAYINGBEAR ST BUSBY MT 59016,30122,,29,1000MB/1000MB_Fiber,45.53725847,-106.9597595,Forsyth,
