FullAddress,SID,PID,EXID,Service,Longitude,Latitude,Company,_overlaps
102 N 5TH ST SUNDANCE WY 82729,59273,,78,Fiber,-104.3763439,44.40612304,Forsyth,
216 N 4TH ST SUNDANCE WY 82729,50545,,78,Fiber,-104.3786223,44.40693918,Forsyth,
113 E FREMONT ST THERMOPOLIS WY 82443,9906,,21,Fiber,-108.1992566,43.64380656,Worland,
85 US HWY 16 BUFFALO WY 82834,63834,,42,Fiber,-106.6827149,44.35365469,Sheridan,
1025 WOOD ST LOT 5 NEWCASTLE WY 82701,27144,,17,Fiber,-104.2194103,43.85830953,Worland,
202 N 12 ST THERMOPOLIS WY 82443,8263,,21,Fiber,-108.2226638,43.64783702,Worland,
102 WESTVIEW DR DUBOIS WY 82513,46194,,3,Fiber,-109.6684213,43.54999839,DUBOIS,
922 S SUMMIT AVE LOT A NEWCASTLE WY 82701,28576,,17,Fiber,-104.1928661,43.84694952,Worland,
620 E HART ST BUFFALO WY 82834,793570,,42,Fiber,-106.688298,44.3545045,Sheridan,
1041 WYARNO RD WYARNO WY 82845,32377,,38,Fiber,-106.7738533,44.81313386,Forsyth,
631 E HART ST BUFFALO WY 82834,64518,,42,Fiber,-106.6893849,44.35391896,Sheridan,
1212 ARAPAHOE ST THERMOPOLIS WY 82443,8875,,21,Fiber,-108.2229138,43.64777041,Worland,
1007 1/2 ROBERTSON AVE WORLAND WY 82401,945319,,23,Fiber,-107.9554261,44.01815285,Worland,
109 E FREMONT ST THERMOPOLIS WY 82443,9907,,21,Fiber,-108.1997162,43.64408539,Worland,
1043 WYARNO RD WYARNO WY 82845,32158,,38,Fiber,-106.7730294,44.81304126,Forsyth,
6007 COUNTY ROAD 210 PINE BLUFFS WY 82082,6059,,19,Fiber,-104.139125,41.14121173,Worland,
350 E HART ST BUFFALO WY 82834,913883,,42,Fiber,-106.6934541,44.35451173,Sheridan,
1228 ARAPAHOE ST THERMOPOLIS WY 82443,8264,,21,Fiber,-108.2232903,43.64774864,Worland,
1051 N 10TH ST WORLAND WY 82401,15236,,23,Fiber,-107.9559753,44.02521805,Worland,
110 A OLD HWY 85 RD NEWCASTLE WY 82701,67000,,17,Fiber,-104.1660965,43.83074615,Worland,
119 CLENDENNING DUBOIS WY 82513,45911,,3,Fiber,-109.631636,43.53605636,DUBOIS,
105 E FREMONT ST THERMOPOLIS WY 82443,9928,,21,Fiber,-108.2004269,43.64419555,Worland,
385 E HART ST BUFFALO WY 82834,64088,,42,Fiber,-106.6930861,44.35343805,Sheridan,
1234 ARAPAHOE ST THERMOPOLIS WY 82443,8876,,21,Fiber,-108.2235217,43.64774562,Worland,
325 N RAILWAY AVE WORLAND WY 82401,12110,,23,Fiber,-107.9603523,44.01966934,Worland,
125 COLLEGE DR CASPER WY 82601,923709,,44,Fiber,-106.3248057,42.83366861,Sheridan,
510 TETON PL WORLAND WY 82401,12164,,23,Fiber,-107.9481552,44.02136099,Worland,
1025 WOOD ST UNIT 3 NEWCASTLE WY 82701,27143,,17,Fiber,-104.2194499,43.85802624,Worland,
307 E HART ST BUFFALO WY 82834,937127,,42,Fiber,-106.6952955,44.35355432,Sheridan,
1244 ARAPAHOE ST THERMOPOLIS WY 82443,8877,,21,Fiber,-108.2237747,43.64775266,Worland,
28 TABLE TOP DR DUBOIS WY 82513,45691,,3,Fiber,-109.6670566,43.53852852,DUBOIS,
600 W MAIN ST NEWCASTLE WY 82701,29379,,17,Fiber,-104.2114093,43.8517892,Worland,
1063 WYARNO RD WYARNO WY 82845,32159,,38,Fiber,-106.7705935,44.8103622,Forsyth,
103 E FREMONT ST THERMOPOLIS WY 82443,9912,,21,Fiber,-108.2007992,43.64418018,Worland,
325 BUTTE ST BUFFALO WY 82834,63978,,42,Fiber,-106.6947181,44.35285487,Sheridan,
1310 ARAPAHOE ST THERMOPOLIS WY 82443,8265,,21,Fiber,-108.2245264,43.64784879,Worland,
502 S 12 ST THERMOPOLIS WY 82443,9287,,21,Fiber,-108.2228512,43.64160976,Worland,
1412 ROBERTSON AVE WORLAND WY 82401,12821,,23,Fiber,-107.9495531,44.01766983,Worland,
906 N 10TH ST WORLAND WY 82401,15308,,23,Fiber,-107.9543847,44.02453247,Worland,
220 E MAIN ST SUNDANCE WY 82729,50570,,78,Fiber,-104.3801393,44.40534409,Forsyth,
1025 WOOD ST LOT 2 NEWCASTLE WY 82701,27142,,17,Fiber,-104.2193629,43.85784747,Worland,
124 N 11 ST THERMOPOLIS WY 82443,8726,,21,Fiber,-108.2209363,43.64704784,Worland,
1025 WOOD ST LOT 1 NEWCASTLE WY 82701,27141,,17,Fiber,-104.2194296,43.85769666,Worland,
600 A W MAIN ST NEWCASTLE WY 82701,29378,,17,Fiber,-104.2111055,43.85162932,Worland,
58 N ADAMS AVE BUFFALO WY 82834,794159,,42,Fiber,-106.7009052,44.34730486,Sheridan,
1742 STATE HWY 215 PINE BLUFFS WY 82082,5945,,19,Fiber,-104.0909016,41.2499493,Worland,
512 TETON PL WORLAND WY 82401,12163,,23,Fiber,-107.9477957,44.02131436,Worland,
138 N 11 ST THERMOPOLIS WY 82443,8725,,21,Fiber,-108.2209269,43.64721593,Worland,
1003 E SEWELL ST SUNDANCE WY 82729,49905,,78,Fiber,-104.3716867,44.40642776,Forsyth,
1025 WOOD ST LOT 8 NEWCASTLE WY 82701,27146,,17,Fiber,-104.2191006,43.85769521,Worland,
301 HORSE SHOE CT THERMOPOLIS WY 82443,9927,,21,Fiber,-108.201414,43.64418159,Worland,
58 E FETTERMAN ST BUFFALO WY 82834,793517,,42,Fiber,-106.697863,44.34710613,Sheridan,
323 N KIMBALL ST CASPER WY 82601,61324,,44,Fiber,-106.3189629,42.85296732,Sheridan,
1121 ARAPAHOE ST THERMOPOLIS WY 82443,8731,,21,Fiber,-108.2214105,43.64720439,Worland,
912 N 10TH ST WORLAND WY 82401,15409,,23,Fiber,-107.954386,44.02446794,Worland,
80 OLD HWY 85 RD NEWCASTLE WY 82701,29153,,17,Fiber,-104.1666714,43.83548597,Worland,
9 S 1 DUBOIS WY 82513,45993,,3,Fiber,-109.6306109,43.53291265,DUBOIS,
1021 WOOD ST NEWCASTLE WY 82701,27147,,17,Fiber,-104.2188637,43.857758,Worland,
69 N MAIN ST BUFFALO WY 82834,943567,,42,Fiber,-106.6987394,44.34822919,Sheridan,
1145 ARAPAHOE ST THERMOPOLIS WY 82443,8729,,21,Fiber,-108.2220407,43.64716268,Worland,
1808 CREST WAY WORLAND WY 82401,13287,,23,Fiber,-107.9447697,44.02194889,Worland,
213 E BROADWAY ST THERMOPOLIS WY 82443,9814,,21,Fiber,-108.1972291,43.64618965,Worland,
27 WAKELY RD SHERIDAN WY 82801,32358,,38,Fiber,-106.8786026,44.8289294,Forsyth,
116 N 11TH ST SUNDANCE WY 82729,50120,,78,Fiber,-104.3701843,44.40916422,Forsyth,
6147 ROAD 210 PINE BLUFFS WY 82082,5264,,19,Fiber,-104.1108456,41.13568046,Worland,
1127 ARAPAHOE ST THERMOPOLIS WY 82443,8730,,21,Fiber,-108.2216879,43.64720728,Worland,
322 S 3RD ST WORLAND WY 82401,12589,,23,Fiber,-107.9661674,44.01396816,Worland,
78 OLD HWY 85 RD NEWCASTLE WY 82701,28852,,17,Fiber,-104.1658641,43.83549891,Worland,
67 N MAIN ST BUFFALO WY 82834,943566,,42,Fiber,-106.6987394,44.34817887,Sheridan,
513 SOLITUDE PL WORLAND WY 82401,13264,,23,Fiber,-107.9442428,44.02177284,Worland,
407 PINE ST PINE BLUFFS WY 82082,5667,,19,Fiber,-104.0651049,41.18039386,Worland,
1227 ARAPAHOE ST THERMOPOLIS WY 82443,8749,,21,Fiber,-108.2231969,43.647254,Worland,
902 N 10TH ST WORLAND WY 82401,12273,,23,Fiber,-107.9553543,44.02470267,Worland,
303 HORSE SHOE CT THERMOPOLIS WY 82443,9929,,21,Fiber,-108.2014007,43.64381738,Worland,
81 WAKELY RD SHERIDAN WY 82801,32186,,38,Fiber,-106.8836041,44.82203049,Forsyth,
65 N MAIN ST BUFFALO WY 82834,943565,,42,Fiber,-106.6987391,44.34812803,Sheridan,
309 E CLEVELAND ST SUNDANCE WY 82729,50809,,78,Fiber,-104.3786762,44.40552929,Forsyth,
1215 ARAPAHOE ST THERMOPOLIS WY 82443,8750,,21,Fiber,-108.2229902,43.64726651,Worland,
360 ROBY AVE LOT 1 NEWCASTLE WY 82701,27096,,17,Fiber,-104.2217274,43.85634813,Worland,
82 OLD HWY 85 RD NEWCASTLE WY 82701,28853,,17,Fiber,-104.1661292,43.83487582,Worland,
100 HOT SPRINGS BLVD THERMOPOLIS WY 82443,9913,,21,Fiber,-108.2011356,43.64461575,Worland,
317 WILDCAT RD SHERIDAN WY 82801,32187,,38,Fiber,-106.863845,44.81850593,Forsyth,
63 N MAIN ST BUFFALO WY 82834,943564,,42,Fiber,-106.6987409,44.34807849,Sheridan,
1207 ARAPAHOE ST THERMOPOLIS WY 82443,8751,,21,Fiber,-108.2227721,43.64724985,Worland,
498 6TH ST CHUGWATER WY 82210,64675,,47,Fiber,-104.816352,41.76911783,Sheridan,
703 S 8 ST THERMOPOLIS WY 82443,9390,,21,Fiber,-108.2153818,43.63930195,Worland,
900 N 10TH ST WORLAND WY 82401,12270,,23,Fiber,-107.9547351,44.02454207,Worland,
116 N 1 DUBOIS WY 82513,46008,,3,Fiber,-109.6311028,43.53578105,DUBOIS,
6110 COUNTY ROAD 210 PINE BLUFFS WY 82082,6060,,19,Fiber,-104.1198626,41.14353202,Worland,
124 N 12 ST THERMOPOLIS WY 82443,8752,,21,Fiber,-108.2226457,43.64722344,Worland,
44 GEYSER CREEK CONNECTION DUBOIS WY 82513,45550,,3,Fiber,-109.7084804,43.52352074,DUBOIS,
104 OLD HWY 85 RD NEWCASTLE WY 82701,28857,,17,Fiber,-104.1657912,43.83154542,Worland,
44 S LOBBAN AVE BUFFALO WY 82834,793347,,42,Fiber,-106.6973372,44.34630441,Sheridan,
115 N 10TH ST SUNDANCE WY 82729,49756,,78,Fiber,-104.372008,44.40848033,Forsyth,
360 ROBY AVE LOT 2 NEWCASTLE WY 82701,27097,,17,Fiber,-104.2217276,43.85623019,Worland,
1313 ARAPAHOE ST THERMOPOLIS WY 82443,8582,,21,Fiber,-108.2246462,43.64727621,Worland,
415 MILLER ST PINE BLUFFS WY 82082,5439,,19,Fiber,-104.0722744,41.18014244,Worland,
315 E MAIN ST SUNDANCE WY 82729,915696,,78,Fiber,-104.3791106,44.40625215,Forsyth,
104 E FREMONT ST THERMOPOLIS WY 82443,9916,,21,Fiber,-108.200793,43.64467898,Worland,
130 S MAIN ST BUFFALO WY 82834,61734,,42,Fiber,-106.6983236,44.34488288,Sheridan,
108 WESTVIEW DR DUBOIS WY 82513,46193,,3,Fiber,-109.6684165,43.5505258,DUBOIS,
1301 ARAPAHOE ST THERMOPOLIS WY 82443,8764,,21,Fiber,-108.2242996,43.64729502,Worland,
824 1/2 N 10TH ST WORLAND WY 82401,15410,,23,Fiber,-107.9552513,44.02406111,Worland,
2510 S HIGHWAY 20 WORLAND WY 82401,15211,,23,Fiber,-108.1652466,43.85992036,Worland,
320 S 1ST ST WORLAND WY 82401,12571,,23,Fiber,-107.9689191,44.01396887,Worland,
110 OLD HWY 85 RD NEWCASTLE WY 82701,28856,,17,Fiber,-104.1659163,43.83049806,Worland,
118 N 1 DUBOIS WY 82513,46009,,3,Fiber,-109.6310723,43.53590718,DUBOIS,
360 ROBY AVE LOT 3 NEWCASTLE WY 82701,27098,,17,Fiber,-104.2216969,43.85610661,Worland,
140 S MAIN ST BUFFALO WY 82834,794220,,42,Fiber,-106.6982245,44.34482865,Sheridan,
115 N 14 ST THERMOPOLIS WY 82443,8583,,21,Fiber,-108.2254472,43.64707567,Worland,
1128 MC ARTHUR ST NEWCASTLE WY 82701,27099,,17,Fiber,-104.221171,43.85626916,Worland,
178 BLUFFS RD CHUGWATER WY 82210,64911,,47,Fiber,-104.8171175,41.76759792,Sheridan,
501 BROADWAY ST THERMOPOLIS WY 82443,9525,,21,Fiber,-108.2106883,43.6458418,Worland,
513 WYOMING ST WORLAND WY 82401,13256,,23,Fiber,-107.94105,44.02146671,Worland,
106 E FREMONT ST THERMOPOLIS WY 82443,9911,,21,Fiber,-108.2005544,43.64467624,Worland,
1341 ARAPAHOE ST THERMOPOLIS WY 82443,8580,,21,Fiber,-108.2254291,43.6473321,Worland,
1008 S 11TH ST SUNDANCE WY 82729,50504,,78,Fiber,-104.3647976,44.39753719,Forsyth,
134 OLD HWY 85 RD NEWCASTLE WY 82701,62325,,17,Fiber,-104.1658166,43.82740649,Worland,
98 S MAIN ST BUFFALO WY 82834,64729,,42,Fiber,-106.6983935,44.34539211,Sheridan,
1901 HOWELL AVE UNIT MAIN WORLAND WY 82401,944069,,23,Fiber,-107.9427223,44.01239943,Worland,
824 N 10TH ST WORLAND WY 82401,15411,,23,Fiber,-107.9555017,44.02410205,Worland,
914 BEECH AVE PINE BLUFFS WY 82082,64738,,19,Fiber,-104.0630597,41.17418996,Worland,
6100 COUNTY ROAD 213 PINE BLUFFS WY 82082,5931,,19,Fiber,-104.1179356,41.18782227,Worland,
1325 ARAPAHOE ST THERMOPOLIS WY 82443,8581,,21,Fiber,-108.2249619,43.64730582,Worland,
23 BOX ELDER RD CLEARMONT WY 82835,946870,,38,Fiber,-106.5858411,44.56425857,Forsyth,
101 CHRISTENSON ST NEWCASTLE WY 82701,27091,,17,Fiber,-104.2230282,43.85730647,Worland,
1901 HOWELL AVE WORLAND WY 82401,14479,,23,Fiber,-107.9419426,44.01232057,Worland,
1009 N HIGHWAY 20 WORLAND WY 82401,11995,,23,Fiber,-107.9490188,44.03569163,Worland,
200 N C AVE THERMOPOLIS WY 82443,9902,,21,Fiber,-108.1982599,43.64518955,Worland,
100 FORT ST BUFFALO WY 82834,61765,,42,Fiber,-106.6998908,44.34791332,Sheridan,
232 OLD HWY 85 RD NEWCASTLE WY 82701,51030,,17,Fiber,-104.1641652,43.80997537,Worland,
1208 BROADWAY ST THERMOPOLIS WY 82443,8754,,21,Fiber,-108.2227845,43.64664978,Worland,
817 N 10TH ST WORLAND WY 82401,12236,,23,Fiber,-107.9561774,44.02424234,Worland,
1829 HOWELL AVE WORLAND WY 82401,14471,,23,Fiber,-107.9441485,44.01183001,Worland,
88 SALT CREEK RD NEWCASTLE WY 82701,28764,,17,Fiber,-104.1480075,43.84244537,Worland,
68 OLD HWY 85 RD NEWCASTLE WY 82701,62418,,17,Fiber,-104.1663139,43.83691863,Worland,
423 E CLEVELAND ST SUNDANCE WY 82729,50131,,78,Fiber,-104.3769471,44.40590685,Forsyth,
83 SALT CREEK RD NEWCASTLE WY 82701,28769,,17,Fiber,-104.1504504,43.84115758,Worland,
76 N MAIN ST BUFFALO WY 82834,61766,,42,Fiber,-106.6995059,44.34777675,Sheridan,
1218 BROADWAY ST THERMOPOLIS WY 82443,8755,,21,Fiber,-108.2230031,43.64666096,Worland,
1701 HOWELL AVE WORLAND WY 82401,14470,,23,Fiber,-107.9457381,44.01175507,Worland,
607 E LINCOLNWAY CHEYENNE WY 82001,942354,,48,Fiber,-104.8078979,41.13516019,Sheridan,
509 BROADWAY ST THERMOPOLIS WY 82443,9526,,21,Fiber,-108.2108447,43.64586452,Worland,
607 HORSE CREEK RD DUBOIS WY 82513,45567,,3,Fiber,-109.6347521,43.54074468,DUBOIS,
1742 A STATE HWY 215 PINE BLUFFS WY 82082,5292,,19,Fiber,-104.0891038,41.25107261,Worland,
169 E WARREN ST THERMOPOLIS WY 82443,9922,,21,Fiber,-108.1985121,43.6452072,Worland,
1435 HWY 14 E SHERIDAN WY 82801,910651,,38,Fiber,-106.7737193,44.62229984,Forsyth,
1621 HOWELL AVE WORLAND WY 82401,14523,,23,Fiber,-107.9464086,44.0117561,Worland,
815 N 10TH ST WORLAND WY 82401,12235,,23,Fiber,-107.956148,44.02385288,Worland,
1226 BROADWAY ST THERMOPOLIS WY 82443,8756,,21,Fiber,-108.2232251,43.64675317,Worland,
318 ROBERTSON AVE WORLAND WY 82401,12642,,23,Fiber,-107.9642546,44.01808237,Worland,
10258 VALLEY RD EDGEMONT SD 57735,945696,,17,Fiber,-104.0021649,43.69874355,Worland,
141 S MAIN ST BUFFALO WY 82834,61799,,42,Fiber,-106.697761,44.34550431,Sheridan,
34 TABLE TOP DR DUBOIS WY 82513,45692,,3,Fiber,-109.663452,43.53632793,DUBOIS,
1521 HOWELL AVE WORLAND WY 82401,14560,,23,Fiber,-107.9475942,44.011746,Worland,
6255 A COUNTY ROAD 213 PINE BLUFFS WY 82082,901578,,19,Fiber,-104.0891085,41.18861709,Worland,
514 TETON PL WORLAND WY 82401,12162,,23,Fiber,-107.9474185,44.0216099,Worland,
1232 BROADWAY ST THERMOPOLIS WY 82443,8757,,21,Fiber,-108.2234718,43.64667026,Worland,
315 CHESTNUT AVE PINE BLUFFS WY 82082,5719,,19,Fiber,-104.0610544,41.18107926,Worland,
610 HORIZON DR CHEYENNE WY 82009,945921,,48,Fiber,-104.8892047,41.12140335,Sheridan,
1275 A HWY 14 E SHERIDAN WY 82801,939098,,38,Fiber,-106.7952549,44.63668586,Forsyth,
1501 HOWELL AVE WORLAND WY 82401,14186,,23,Fiber,-107.9480934,44.0117311,Worland,
810 N 10TH ST WORLAND WY 82401,12274,,23,Fiber,-107.955448,44.02396522,Worland,
66 B ANGUS ST WY 82834,793966,,42,Fiber,-106.6994114,44.34555695,Sheridan,
1807 YELLOWSTONE AVE WORLAND WY 82401,13168,,23,Fiber,-107.9445143,44.02270431,Worland,
119 N 13 ST THERMOPOLIS WY 82443,8761,,21,Fiber,-108.2238671,43.64687738,Worland,
517 BROADWAY ST THERMOPOLIS WY 82443,9527,,21,Fiber,-108.2109516,43.64585812,Worland,
1562 RD 158 MILES CITY MT 59301,39768,,33,Fiber,-106.1358927,46.33480365,Forsyth,
1412 HOWELL AVE WORLAND WY 82401,14190,,23,Fiber,-107.9488149,44.01129905,Worland,
1 MOUNTAIN VIEW DR SUNDANCE WY 82729,49565,,78,Fiber,-104.382822,44.40087826,Forsyth,
904 W RAMSHORN DUBOIS WY 82513,45725,,3,Fiber,-109.6452954,43.53829484,DUBOIS,
215 E WARREN ST THERMOPOLIS WY 82443,9900,,21,Fiber,-108.1974126,43.64518336,Worland,
59 WESTERN AVE BUFFALO WY 82834,61730,,42,Fiber,-106.6997996,44.34547083,Sheridan,
1312 BROADWAY ST THERMOPOLIS WY 82443,8572,,21,Fiber,-108.2247697,43.6466917,Worland,
11 A FREMONT DUBOIS WY 82513,45716,,3,Fiber,-109.6474461,43.53703479,DUBOIS,
1408 HOWELL AVE WORLAND WY 82401,14189,,23,Fiber,-107.9490481,44.01127465,Worland,
70 SALT CREEK RD NEWCASTLE WY 82701,28763,,17,Fiber,-104.1486295,43.83917966,Worland,
801 N 10TH ST WORLAND WY 82401,12239,,23,Fiber,-107.9567696,44.02355404,Worland,
300 CULBERTSON AVE WORLAND WY 82401,63008,,23,Fiber,-107.9656493,44.01449111,Worland,
1445 HWY 14 E SHERIDAN WY 82801,945457,,38,Fiber,-106.757977,44.61079973,Forsyth,
217 E WARREN ST THERMOPOLIS WY 82443,9899,,21,Fiber,-108.1971133,43.64519078,Worland,
115 N 13 ST THERMOPOLIS WY 82443,8759,,21,Fiber,-108.2238368,43.64669009,Worland,
1404 HOWELL AVE WORLAND WY 82401,14188,,23,Fiber,-107.9492801,44.01128307,Worland,
107 W MAIN ST SUNDANCE WY 82729,49544,,78,Fiber,-104.3825792,44.40474272,Forsyth,
92 SALT CREEK RD NEWCASTLE WY 82701,29189,,17,Fiber,-104.1468012,43.84180867,Worland,
331 LEXINGTON AVE CHEYENNE WY 82007,942423,,48,Fiber,-104.7571516,41.12585418,Sheridan,
74 W ANGUS ST BUFFALO WY 82834,61729,,42,Fiber,-106.6994548,44.3451368,Sheridan,
49 FISCHER DR STORY WY 82842,9528,,21,Fiber,-108.211073,43.64586108,Worland,
136 MIZPAH RD OLIVE MT 59343,20893,,32,Fiber,-105.4272481,45.72518552,Forsyth,
1400 HOWELL AVE WORLAND WY 82401,14187,,23,Fiber,-107.9495051,44.01130241,Worland,
800 N 10TH ST WORLAND WY 82401,12275,,23,Fiber,-107.955501,44.02370994,Worland,
1332 BROADWAY ST THERMOPOLIS WY 82443,8574,,21,Fiber,-108.2251678,43.64670619,Worland,
46 UPHILL RD DUBOIS WY 82513,46402,,3,Fiber,-109.7528065,43.57796779,DUBOIS,
60 OLD HWY 85 RD NEWCASTLE WY 82701,28732,,17,Fiber,-104.1678785,43.8381012,Worland,
25556 HIGHLANDS RD EDGEMONT SD 57735,29075,,17,Fiber,-103.9782518,43.70527173,Worland,
66 W ANGUS ST BUFFALO WY 82834,794250,,42,Fiber,-106.6992874,44.34519997,Sheridan,
1320 HOWELL AVE WORLAND WY 82401,15579,,23,Fiber,-107.9497557,44.01127886,Worland,
229 E WARREN ST THERMOPOLIS WY 82443,9896,,21,Fiber,-108.1966564,43.64521222,Worland,
603 HORSE CREEK RD DUBOIS WY 82513,45568,,3,Fiber,-109.6349926,43.54044326,DUBOIS,
1344 BROADWAY ST THERMOPOLIS WY 82443,8575,,21,Fiber,-108.2254121,43.64670774,Worland,
128 SALT CREEK RD NEWCASTLE WY 82701,28760,,17,Fiber,-104.1491711,43.84817437,Worland,
119 SALT CREEK RD NEWCASTLE WY 82701,28780,,17,Fiber,-104.1517418,43.84796272,Worland,
502 E MAIN ST SUNDANCE WY 82729,49766,,78,Fiber,-104.3768427,44.40669366,Forsyth,
1316 HOWELL AVE WORLAND WY 82401,14390,,23,Fiber,-107.9499445,44.01128378,Worland,
219 E WARREN ST THERMOPOLIS WY 82443,9898,,21,Fiber,-108.1968243,43.64512841,Worland,
105 SALT CREEK RD NEWCASTLE WY 82701,28759,,17,Fiber,-104.1513803,43.84491405,Worland,
293 S MAIN ST BUFFALO WY 82834,921697,,42,Fiber,-106.697198,44.34352123,Sheridan,
342 BROADWAY ST THERMOPOLIS WY 82443,9422,,21,Fiber,-108.2081874,43.64634834,Worland,
725 N 10TH ST WORLAND WY 82401,63116,,23,Fiber,-107.9561509,44.02327039,Worland,
1312 HOWELL AVE WORLAND WY 82401,14391,,23,Fiber,-107.9502318,44.01129107,Worland,
90 SALT CREEK RD NEWCASTLE WY 82701,28765,,17,Fiber,-104.1438556,43.84363057,Worland,
340 PROGRESS CIR CHEYENNE WY 82007,64695,,48,Fiber,-104.7412021,41.12957307,Sheridan,
515 SOLITUDE PL WORLAND WY 82401,13263,,23,Fiber,-107.9440383,44.02196539,Worland,
34 SALT CREEK RD NEWCASTLE WY 82701,29461,,17,Fiber,-104.1507727,43.83669794,Worland,
79 S MAIN ST BUFFALO WY 82834,792867,,42,Fiber,-106.6982902,44.34597817,Sheridan,
130 BROADWAY ST THERMOPOLIS WY 82443,9486,,21,Fiber,-108.2041171,43.64633001,Worland,
1308 HOWELL AVE WORLAND WY 82401,14392,,23,Fiber,-107.9504004,44.01129571,Worland,
527 BROADWAY ST THERMOPOLIS WY 82443,9529,,21,Fiber,-108.2112017,43.64591543,Worland,
318 BIG HORN AVE WORLAND WY 82401,12596,,23,Fiber,-107.9643329,44.01639154,Worland,
118 MERCANTILE DUBOIS WY 82513,45942,,3,Fiber,-109.6324955,43.53593483,DUBOIS,
717 N 10TH ST WORLAND WY 82401,15405,,23,Fiber,-107.95615,44.02315829,Worland,
206 S D AVE THERMOPOLIS WY 82443,9891,,21,Fiber,-108.1960792,43.64465689,Worland,
19 SALT CREEK RD NEWCASTLE WY 82701,28890,,17,Fiber,-104.1553716,43.8350053,Worland,
1304 HOWELL AVE WORLAND WY 82401,14393,,23,Fiber,-107.950661,44.01128103,Worland,
1501 CREST WAY WORLAND WY 82401,12159,,23,Fiber,-107.9482141,44.02096044,Worland,
57 S MAIN ST BUFFALO WY 82834,61737,,42,Fiber,-106.6984074,44.34613944,Sheridan,
136 WARREN ST THERMOPOLIS WY 82443,9468,,21,Fiber,-108.2044628,43.64507989,Worland,
2 MOUNTAIN VIEW DR SUNDANCE WY 82729,49566,,78,Fiber,-104.3829369,44.40079338,Forsyth,
58 OLD HWY 85 RD NEWCASTLE WY 82701,29144,,17,Fiber,-104.1689428,43.83834907,Worland,
102 TAYLOR CREEK RD DUBOIS WY 82513,46243,,3,Fiber,-109.6662451,43.54834625,DUBOIS,
1300 HOWELL AVE WORLAND WY 82401,14394,,23,Fiber,-107.9508979,44.0112569,Worland,
1012 PULLIAM AVE WORLAND WY 82401,12777,,23,Fiber,-107.9550259,44.01870152,Worland,
705 MAPLE ST PINE BLUFFS WY 82082,5651,,19,Fiber,-104.0638582,41.17718475,Worland,
5151 US HIGHWAY 16 NEWCASTLE WY 82701,28889,,17,Fiber,-104.1575777,43.83497034,Worland,
51 S MAIN ST BUFFALO WY 82834,794231,,42,Fiber,-106.6984568,44.34620848,Sheridan,
211 BROADWAY ST THERMOPOLIS WY 82443,9542,,21,Fiber,-108.205451,43.64572166,Worland,
160 E WARREN ST THERMOPOLIS WY 82443,9881,,21,Fiber,-108.1988281,43.64575771,Worland,
1236 HOWELL AVE WORLAND WY 82401,14389,,23,Fiber,-107.9514935,44.01126595,Worland,
700 N 10TH ST WORLAND WY 82401,12276,,23,Fiber,-107.9554808,44.02305464,Worland,
303 COUNTY ROAD 161 PINE BLUFFS WY 82082,6094,,19,Fiber,-104.1071089,41.04572182,Worland,
334 1 PARSLEY BLVD CHEYENNE WY 82001,64532,,48,Fiber,-104.8302244,41.12003981,Sheridan,
516 MEADOWLARK LN WORLAND WY 82401,13260,,23,Fiber,-107.9430944,44.02178979,Worland,
6 BIG RED RD NEWCASTLE WY 82701,29133,,17,Fiber,-104.1419723,43.81995142,Worland,
94 S MAIN ST BUFFALO WY 82834,794239,,42,Fiber,-106.6984361,44.34549763,Sheridan,
1232 HOWELL AVE WORLAND WY 82401,14388,,23,Fiber,-107.9516776,44.01129419,Worland,
531 BROADWAY ST THERMOPOLIS WY 82443,9530,,21,Fiber,-108.2114329,43.64584969,Worland,
203 BROADWAY ST THERMOPOLIS WY 82443,9541,,21,Fiber,-108.2052502,43.64575352,Worland,
135 COAL CREEK RD CLEARMONT WY 82835,901508,,38,Fiber,-106.5842879,44.63041509,Forsyth,
50 OLD HWY 85 RD NEWCASTLE WY 82701,28735,,17,Fiber,-104.1697387,43.83880273,Worland,
1650 A STATE HWY 215 PINE BLUFFS WY 82082,901579,,19,Fiber,-104.0903925,41.23725038,Worland,
519 E CLEVELAND ST SUNDANCE WY 82729,50817,,78,Fiber,-104.3756044,44.40650221,Forsyth,
1228 HOWELL AVE WORLAND WY 82401,14387,,23,Fiber,-107.9518898,44.01128316,Worland,
639 N 10TH ST WORLAND WY 82401,12193,,23,Fiber,-107.9561362,44.02290603,Worland,
136 E WARREN ST THERMOPOLIS WY 82443,9878,,21,Fiber,-108.1998017,43.64565462,Worland,
90 S MAIN ST BUFFALO WY 82834,61778,,42,Fiber,-106.6984746,44.34554783,Sheridan,
144 S 2ND ST THERMOPOLIS WY 82443,9478,,21,Fiber,-108.205357,43.64508323,Worland,
316 N 4TH ST WORLAND WY 82401,12666,,23,Fiber,-107.9636294,44.0190668,Worland,
49 UPHILL RD DUBOIS WY 82513,46401,,3,Fiber,-109.7540942,43.57613793,DUBOIS,
1224 HOWELL AVE WORLAND WY 82401,14386,,23,Fiber,-107.9521436,44.01130295,Worland,
110 WESTVIEW DR DUBOIS WY 82513,46192,,3,Fiber,-109.6684464,43.55112975,DUBOIS,
10357 US HIGHWAY 16 EDGEMONT SD 57735,29014,,17,Fiber,-103.9890919,43.71927453,Worland,
